# Recipes — matched against the plate AND used by the menu generator.
# core = ingredients that DEFINE the dish; opt = the garnish/micro layer (flax, lemon, seeds, moringa).
#   The MATCHER treats opt as optional; the MENU GENERATOR places it anyway — that layer is where
#   omega-3, calcium, zinc and the iron-absorption partner live. See menu.html.
# ids are space-separated (ingredient ids from ingredients.csv). meals = space-separated meal types it fits.
#
# effort = ACTIVE minutes, assuming the §6 prep blocks are done (dal cooked, eggs boiled, base bhuna'd).
#   This is the axis that actually matters. Indian home cooking is structurally expensive — a tadka,
#   a bhuna, a gravy, then rice, then a sabzi. The global one-pan and assembly formats hit the same
#   nutrition in a third of the time, which is exactly what §8 "Beyond Indian" says.
#   Tier 0 = 0-6 min  (no cooking, pure assembly — the highest-leverage dishes here)
#   Tier 1 = 8-15 min (one pan)
#   Tier 2 = 20-30 min (multi-step — kept, but the generator knows they cost more)
# cuisine: global | greek | med | levant | italian | mexican | asian | north | south | west | chaat | neutral
# No commas inside any field.
id,name,meals,core,opt,method,cuisine,effort,amounts,src
indb_carrot_and_fenugreek_leaves,Carrot and fenugreek leaves,lunch,carrot methi,ginger gchilli,,indian,40,carrot:100 methi:75 ginger:6 gchilli:2,INDB:ASC174|AK:Carrot Fenugreek Leaves Stir Fry (Reci(0.50)
indb_potato_fenugreek,Potato fenugreek,snack,potato methi,ginger gchilli,,sindhi,35,potato:100 methi:75 ginger:6 gchilli:2,INDB:ASC175|AK:Potato cabbage fenugreek recipe(0.67)
indb_brinjal_bhartha,Brinjal bhartha,,brinjal tomato onion,ginger gchilli,,,0,brinjal:200 tomato:50 onion:50 ginger:5 gchilli:3,INDB:ASC177
indb_beans_with_coconut,Beans with coconut,lunch dinner,fbeans coconut onion,gchilli garlic,,sri lankan,40,fbeans:100 coconut:20 onion:10 gchilli:3 garlic:1,INDB:ASC179|AK:Sri Lankan Beans With Coconut Recipe(0.50)
indb_cauliflower_with_coconut,Cauliflower with coconut,lunch,cauli coconut onion,gchilli garlic,,south indian recipes,50,cauli:100 coconut:20 onion:10 gchilli:3 garlic:1,INDB:ASC180|AK:Cauliflower Coconut Milk Stew Recipe(0.50)
indb_carrot_and_cabbage_with_coconut,Carrot and cabbage with coconut,lunch,cabbage carrot coconut,onion gchilli garlic,,kerala recipes,40,cabbage:100 carrot:50 coconut:20 onion:10 gchilli:3 garlic:1,INDB:ASC181|AK:Cabbage And Carrot Thoran Recipe(0.50)
indb_stuffed_capsicum,Stuffed capsicum,lunch,capsicum potato onion,ginger,,north indian recipes,55,capsicum:50 potato:50 onion:15 ginger:2,INDB:ASC186|AK:Stuffed Capsicum Makhani Recipe(0.67)
indb_stuffed_tomatoes,Stuffed tomatoes,,tomato peas_fresh paneer carrot potato,onion,,,0,tomato:150 peas_fresh:30 paneer:25 carrot:20 potato:20 onion:10,INDB:ASC189
indb_pea_potato_curry,Pea potato curry,,peas_fresh tomato potato onion,ginger gchilli garlic,,,0,peas_fresh:100 tomato:50 potato:50 onion:50 ginger:5 gchilli:3 garlic:1,INDB:ASC190
indb_pea_paneer_curry,Pea paneer curry,lunch dinner,peas_fresh tomato onion paneer,ginger gchilli garlic,,hyderabadi,35,peas_fresh:100 tomato:50 onion:50 paneer:50 ginger:5 gchilli:3 garlic:1,INDB:ASC191|AK:Nawabi Paneer Curry Recipe - Nawabi Pa(0.50)
indb_pea_mushroom_curry,Pea mushroom curry,dinner,peas_fresh tomato onion mushroom,ginger gchilli garlic,,north indian recipes,45,peas_fresh:100 tomato:50 onion:50 mushroom:50 ginger:5 gchilli:3 garlic:1,INDB:ASC192|AK:Mushroom Curry (Recipe)(0.67)
indb_pea_curry,Pea curry,,peas_fresh tomato onion,ginger gchilli garlic,,,0,peas_fresh:150 tomato:50 onion:50 ginger:5 gchilli:3 garlic:1,INDB:ASC193
indb_pea_vadi_curry,Pea vadi curry,,peas_fresh tomato onion,tofu ginger gchilli garlic,,,0,peas_fresh:150 tomato:50 onion:50 tofu:10 ginger:5 gchilli:3 garlic:1,INDB:ASC194
indb_paneer_curry,Paneer curry,lunch dinner,paneer tomato onion,ginger gchilli garlic,,hyderabadi,35,paneer:75 tomato:50 onion:50 ginger:5 gchilli:3 garlic:1,INDB:ASC195|AK:Nawabi Paneer Curry Recipe - Nawabi Pa(0.67)
indb_gravy_for_kofta,Gravy for kofta,,tomato onion,ginger garlic,,,0,tomato:50 onion:50 ginger:5 garlic:1,INDB:ASC197
indb_pea_kofta_curry,Pea kofta curry,dinner,peas_fresh tomato onion,chana_dal ginger garlic,,north indian recipes,75,peas_fresh:150 tomato:50 onion:50 chana_dal:10 ginger:5 garlic:1,INDB:ASC198|AK:Vegan Kofta Curry Recipe(0.50)
indb_raw_banana_kofta_curry,Raw banana kofta curry,lunch,banana tomato onion,ginger gchilli garlic,,indian,60,banana:100 tomato:50 onion:50 ginger:5 gchilli:2 garlic:1,INDB:ASC202|AK:Raw Jackfruit Kofta Curry Recipe - Kat(0.50)
indb_cauliflower_kofta_curry,Cauliflower kofta curry,dinner,cauli tomato onion,ginger gchilli garlic,,north indian recipes,50,cauli:75 tomato:50 onion:50 ginger:5 gchilli:2 garlic:1,INDB:ASC203|AK:Cauliflower Paneer Kofta Curry Recipe(0.75)
indb_baked_brinjal_in_tomato_sauce,Baked brinjal in tomato sauce,lunch dinner,tomato brinjal onion,paneer garlic,,continental,55,tomato:250 brinjal:125 onion:38 paneer:12 garlic:1,INDB:ASC213|AK:Baked Egg With Quinoa & Tomato Sauce R(0.50)
indb_dum_aloo,Dum aloo,lunch dinner,potato onion curd,gchilli garlic,,bengali recipes,70,potato:100 onion:30 curd:30 gchilli:3 garlic:1,INDB:ASC214|AK:Bengali Aloo Dum Recipe - Bengali Aloo(0.67)
indb_spinach_paneer,Spinach paneer,lunch,spinach tomato paneer onion,ginger garlic,,north indian recipes,100,spinach:150 tomato:50 paneer:40 onion:25 ginger:5 garlic:1,INDB:ASC215|AK:Spinach Paneer Kofta Curry Recipe(0.50)
indb_mixed_pulse_and_vegetable_salad,Mixed pulse and vegetable salad,,lettuce potato cucumber onion lemon_wedge rajma_soaked,kabuli gchilli,,,0,lettuce:48 potato:30 cucumber:20 onion:20 lemon_wedge:18 rajma_soaked:15 kabuli:15 gchilli:2,INDB:ASC258
indb_sprouted_moong_salad,Sprouted moong salad,lunch,lettuce moong_whole tomato potato curd onion,,,north indian recipes,25,lettuce:48 moong_whole:40 tomato:30 potato:30 curd:30 onion:25,INDB:ASC259|AK: Sprouted Moong Dal Recipe(0.50)
indb_tomato_onion_raita,Tomato onion raita,lunch dinner,curd tomato onion,gchilli,,indian,10,curd:100 tomato:40 onion:35 gchilli:2,INDB:ASC269|AK:Onion Raita Recipe - Onion Raita Recip(0.67)
indb_peanut_raita,Peanut raita,lunch dinner,curd peanut,gchilli,,indian,10,curd:100 peanut:20 gchilli:2,INDB:ASC270|AK:Peanut Raita Recipe - Boiled Peanut Ra(0.67)
indb_sprouted_moong_raita,Sprouted moong raita,lunch,curd moong_whole,gchilli,,north indian recipes,25,curd:100 moong_whole:50 gchilli:2,INDB:ASC271|AK: Sprouted Moong Dal Recipe(0.50)
indb_bottle_gourd_raita,Bottle gourd raita,lunch dinner,curd lauki,gchilli,,indian,30,curd:100 lauki:50 gchilli:2,INDB:ASC272|AK:Gourd Raita Recipe - Grated Bottle Gou(0.50)
indb_cucumber_raita,Cucumber raita,lunch dinner,curd cucumber,gchilli,,indian,5,curd:100 cucumber:50 gchilli:2,INDB:ASC273|AK:Grated Cucumber Raita Recipe(0.67)
indb_carrot_and_spinach_raita,Carrot and spinach raita,lunch dinner,curd spinach carrot,gchilli,,indian,25,curd:100 spinach:50 carrot:25 gchilli:2,INDB:ASC274|AK:Beetroot Carrot Raita Recipe(0.50)
indb_potato_raita,Potato raita,,curd potato,gchilli,,,0,curd:100 potato:55 gchilli:2,INDB:ASC276
indb_dahi_vadas_dahi_bhalla,Dahi vadas/Dahi bhalla,,curd urad,ginger,,,0,curd:75 urad:25 ginger:2,INDB:ASC279
indb_gunjia,Gunjia,,curd urad,coconut raisin,,,0,curd:75 urad:25 coconut:8 raisin:1,INDB:ASC280
indb_mixed_vegetable_pakora_pakoda,Mixed vegetable pakora/pakoda,,chana_dal spinach cauli potato onion,,,,0,chana_dal:50 spinach:20 cauli:20 potato:20 onion:20,INDB:ASC354
indb_masala_vada,Masala vada,snack,chana_dal dal onion gchilli,ginger,,south indian recipes,90,chana_dal:20 dal:20 onion:10 gchilli:3 ginger:3,INDB:ASC378|AK:Avarekalu Masala Vada Recipe(0.67)
indb_peanut_chutney,Peanut chutney,lunch dinner,peanut lemon_wedge gchilli,ginger,,indian,30,peanut:10 lemon_wedge:8 gchilli:2 ginger:2,INDB:ASC385|AK:Peanut Chutney Recipe - Peanut Chutney(1.00)
indb_coconut_chutney,Coconut chutney,lunch dinner,coconut lemon_wedge,gchilli,,south indian recipes,20,coconut:12 lemon_wedge:9 gchilli:1,INDB:ASC386|AK:Coconut Chutney Recipe - Coconut Chutn(1.00)
indb_gram_flour_and_semolina_chilla_che,Gram flour and semolina chilla/cheela/savory pancake,,spinach suji chana_dal,,,,0,spinach:25 suji:20 chana_dal:15,INDB:ASC461
indb_split_bengal_gram_sweet_rice,Split bengal gram sweet rice,,rice jaggery chana_dal,,,,0,rice:50 jaggery:50 chana_dal:20,INDB:ASC463
indb_sweet_poori,Sweet poori,,atta jaggery chana_dal,til,,,0,atta:50 jaggery:50 chana_dal:20 til:10,INDB:ASC464
indb_sweet_split_chickpea_roti,Sweet split chickpea roti,,atta jaggery chana_dal,,,,0,atta:50 jaggery:30 chana_dal:20,INDB:ASC467
indb_sprouted_moong_poha,Sprouted moong poha,lunch,poha potato onion moong_whole peanut lemon_wedge,gchilli,,north indian recipes,25,poha:50 potato:30 onion:30 moong_whole:30 peanut:20 lemon_wedge:18 gchilli:3,INDB:ASC469|AK: Sprouted Moong Dal Recipe(0.50)
indb_pearl_millet_ladoo,Pearl millet ladoo,,jaggery bajra dal peanut,til,,,0,jaggery:30 bajra:25 dal:10 peanut:10 til:5,INDB:ASC470
indb_paushtik_roti,Paushtik roti,,spinach atta onion chana_dal,gchilli,,,0,spinach:50 atta:30 onion:25 chana_dal:20 gchilli:3,INDB:ASC472
indb_semolina_carrot_vada,Semolina carrot vada,,curd suji carrot,,,,0,curd:35 suji:25 carrot:25,INDB:ASC473
indb_dhokla,Dhokla,breakfast,chana_dal curd,ginger gchilli,,gujarati recipes﻿,15,chana_dal:38 curd:38 ginger:2 gchilli:1,INDB:ASC474|AK:Rasawala Dhokla Recipe(0.50)
indb_semolina_upma,Semolina upma,,suji onion urad gchilli ginger,lemon_wedge,,,0,suji:20 onion:15 urad:2 gchilli:2 ginger:2 lemon_wedge:2,INDB:BFP039
indb_vermicelli_upma,Vermicelli upma,breakfast,vermicelli onion urad gchilli ginger,lemon_wedge,,chettinad,25,vermicelli:20 onion:15 urad:2 gchilli:2 ginger:2 lemon_wedge:2,INDB:BFP040|AK:Chettinad Style Tomato Vermicelli Upma(0.50)
indb_rice_upma,Rice upma,breakfast,rice onion urad gchilli ginger,lemon_wedge,,south indian recipes,60,rice:20 onion:15 urad:2 gchilli:2 ginger:2 lemon_wedge:2,INDB:BFP041|AK:Vegetable Rice Upma Recipe(0.67)
indb_vegetable_upma,Vegetable upma,breakfast,suji peas_fresh onion carrot peanut urad,lemon_wedge gchilli ginger,,fusion,50,suji:40 peas_fresh:20 onion:20 carrot:10 peanut:10 urad:5 lemon_wedge:4 gchilli:3 ginger:3,INDB:BFP043|AK:Quinoa Vegetable Upma Recipe(0.67)
indb_poha,Poha,breakfast,poha potato peanut,lemon_wedge,,north indian recipes,40,poha:20 potato:15 peanut:5 lemon_wedge:4,INDB:BFP044|AK:Indori Poha Recipe(0.50)
indb_vegetable_poha,Vegetable poha,,poha peas_fresh onion carrot peanut urad,lemon_wedge gchilli ginger,,,0,poha:20 peas_fresh:10 onion:10 carrot:5 peanut:5 urad:2 lemon_wedge:2 gchilli:2 ginger:2,INDB:BFP045
indb_moong_dal_stuffed_cheela_chilla,Moong dal stuffed cheela/chilla,breakfast,potato dal onion gchilli coriander,lemon_wedge urad ginger,,north indian recipes,90,potato:65 dal:50 onion:25 gchilli:13 coriander:10 lemon_wedge:8 urad:5 ginger:3,INDB:BFP046|AK: Moong Dal Chilla (Recipe In Hindi)(0.50)
indb_paneer_stuffed_cheela_chilla,Paneer stuffed cheela/chilla,,dal paneer onion gchilli coriander,lemon_wedge urad ginger,,,0,dal:50 paneer:50 onion:25 gchilli:13 coriander:10 lemon_wedge:8 urad:5 ginger:3,INDB:BFP047
indb_indian_style_egg_bhujia,Indian style egg bhujia,,egg tomato onion,ginger gchilli garlic,,,0,egg:50 tomato:30 onion:30 ginger:5 gchilli:3 garlic:1,INDB:BFP052
indb_onion_green_chilli_parantha_parath,Onion-green chilli parantha/paratha,,atta onion,gchilli,,,0,atta:80 onion:80 gchilli:3,INDB:BFP108
indb_methi_parantha_paratha,Methi parantha/paratha,breakfast,atta onion methi,ginger gchilli,,north indian recipes,45,atta:80 onion:80 methi:50 ginger:5 gchilli:3,INDB:BFP110|AK:Lu methi paratha recipe(0.67)
indb_eggplant_brinjal_rice,Eggplant/Brinjal rice,,brinjal rice tamarind chana_dal,urad cashew,,,0,brinjal:100 rice:80 tamarind:20 chana_dal:10 urad:10 cashew:10,INDB:BFP132
indb_peas_pulao,Peas pulao,lunch dinner,peas_fresh rice onion,,,indian,35,peas_fresh:150 rice:80 onion:70,INDB:BFP136|AK:Peas Pulao Recipe - Peas Pulao Recipe(1.00)
indb_split_bengal_gram_dal_and_vegetabl,Split bengal gram dal and vegetable pulao,,rice onion peas_fresh carrot,chana_dal,,,0,rice:80 onion:70 peas_fresh:50 carrot:50 chana_dal:20,INDB:BFP137
indb_black_channa_pulao_bengal_gram_pul,Black channa pulao/ Bengal gram pulao,,onion rice chana_dal,,,,0,onion:120 rice:80 chana_dal:25,INDB:BFP138
indb_plain_khitchdi,Plain khitchdi,,rice dal ginger,ghee,,,0,rice:60 dal:20 ginger:5 ghee:5,INDB:BFP144
indb_dal_moong,Dal moong,snack,dal ginger ghee,gchilli garlic,,indian,,dal:30 ginger:5 ghee:5 gchilli:3 garlic:1,INDB:BFP166|AK: Moong Dal Tikki Recipe(0.67)
indb_onion_tomato_baghar,Onion tomato baghar,lunch dinner,onion tomato ghee,gchilli,,north indian recipes,40,onion:20 tomato:15 ghee:5 gchilli:2,INDB:BFP168|AK:Tomato Onion Vegetable Recipe - Tomato(0.50)
indb_sour_lentils,Sour lentils,,masoor onion tamarind,ginger garlic,,,0,masoor:30 onion:20 tamarind:5 ginger:5 garlic:1,INDB:BFP170
indb_urad_special_dehusked,Urad special dehusked,,onion radish urad tomato ginger,ghee gchilli garlic,,,0,onion:40 radish:38 urad:30 tomato:20 ginger:10 ghee:5 gchilli:2 garlic:1,INDB:BFP171
indb_arhar_with_spinach,Arhar with spinach,,spinach dal ghee,ginger gchilli garlic,,,0,spinach:50 dal:30 ghee:10 ginger:5 gchilli:3 garlic:1,INDB:BFP172
indb_moong_dal_with_vadi,Moong dal with vadi,snack,onion tomato tofu gchilli ginger,ghee garlic,,indian,,onion:20 tomato:15 tofu:8 gchilli:5 ginger:5 ghee:5 garlic:1,INDB:BFP174|AK: Moong Dal Tikki Recipe(0.50)
indb_rasam_with_tamarind,Rasam with tamarind,,tomato dal ginger,gchilli tamarind garlic,,,0,tomato:50 dal:10 ginger:5 gchilli:3 tamarind:3 garlic:1,INDB:BFP176
indb_rasam_with_lemon,Rasam with lemon,lunch dinner,tomato dal lemon_wedge ginger,gchilli garlic,,south indian recipes,25,tomato:50 dal:10 lemon_wedge:8 ginger:5 gchilli:3 garlic:1,INDB:BFP177|AK:Lemon Thyme Rasam Recipe(0.67)
indb_green_gram_whole_with_baghar,Green gram whole with baghar,,moong_whole ginger ghee,garlic,,,0,moong_whole:30 ginger:5 ghee:5 garlic:1,INDB:BFP178
indb_kabuli_channa_curry,Kabuli channa curry,,tomato kabuli onion ginger,garlic,,,0,tomato:50 kabuli:40 onion:30 ginger:15 garlic:1,INDB:BFP185
indb_besan_gatte_curry,Besan gatte curry,,curd chana_dal tomato onion paneer,ginger gchilli raisin,,,0,curd:65 chana_dal:45 tomato:30 onion:30 paneer:20 ginger:5 gchilli:2 raisin:1,INDB:BFP187
indb_soya_chunks_korma,Soya chunks korma,,onion curd ginger tofu,cashew garlic,,,0,onion:80 curd:75 ginger:20 tofu:20 cashew:3 garlic:3,INDB:BFP204
indb_mushroom_matar,Mushroom matar,lunch,tomato mushroom peas_fresh onion,ginger gchilli garlic,,north indian recipes,40,tomato:60 mushroom:60 peas_fresh:50 onion:30 ginger:10 gchilli:2 garlic:1,INDB:BFP205|AK:North Indian Style Mushroom Matar Masa(0.67)
indb_soya_chunks_and_peas,Soya chunks and peas,,tomato peas_fresh onion tofu,ginger gchilli garlic,,,0,tomato:60 peas_fresh:50 onion:30 tofu:20 ginger:10 gchilli:2 garlic:1,INDB:BFP206
indb_potato_curry,Potato curry,lunch,potato tomato onion,gchilli ginger garlic,,goan recipes,40,potato:100 tomato:50 onion:30 gchilli:3 ginger:3 garlic:1,INDB:BFP239|AK:Potato Vindaloo Recipe (Spicy Goan Pot(0.50)
indb_egg_curry,Egg curry,dinner,tomato egg onion,gchilli ginger garlic,,south indian recipes,25,tomato:50 egg:50 onion:30 gchilli:3 ginger:3 garlic:1,INDB:BFP240|AK: South Indian Egg Curry Recipe(1.00)
indb_vegetable_curry_with_coconut,Vegetable curry with coconut,lunch dinner,peas_fresh tomato potato onion coconut,gchilli ginger garlic,,mangalorean,60,peas_fresh:100 tomato:50 potato:50 onion:30 coconut:20 gchilli:3 ginger:3 garlic:1,INDB:BFP241|AK:Broccoli & Vegetable Coconut Curry Rec(0.75)
indb_curd_with_potatoes,Curd with potatoes,,potato curd tomato onion,ginger gchilli,,,0,potato:120 curd:50 tomato:40 onion:30 ginger:5 gchilli:2,INDB:BFP242
indb_spinach_and_potato,Spinach and potato,snack,spinach potato tomato onion,ginger garlic,,continental,30,spinach:150 potato:80 tomato:50 onion:25 ginger:5 garlic:1,INDB:BFP257|AK:Spinach & Garlic Potato Patties Recipe(0.50)
indb_mooli_bhujia,Mooli bhujia,,mooli_leaf radish onion,ginger gchilli,,,0,mooli_leaf:100 radish:50 onion:20 ginger:10 gchilli:3,INDB:BFP258
indb_bathua_bhujia,Bathua bhujia,,bathua onion,ginger gchilli,,,0,bathua:150 onion:20 ginger:10 gchilli:3,INDB:BFP259
indb_dry_arbi,Dry arbi,,arbi onion tomato,ginger garlic,,,0,arbi:100 onion:30 tomato:15 ginger:5 garlic:1,INDB:BFP263
indb_peas_brinjal_bhartha,Peas brinjal bhartha,,brinjal peas_fresh tomato onion,gchilli,,,0,brinjal:150 peas_fresh:30 tomato:30 onion:30 gchilli:3,INDB:BFP266
indb_beans_foogath,Beans foogath,lunch dinner,fbeans onion coconut,gchilli,,goan recipes,25,fbeans:120 onion:15 coconut:15 gchilli:3,INDB:BFP272|AK:Goan Style French Beans Foogath Recipe(0.50)
indb_stuffed_bittergourd,Stuffed bittergourd,,karela onion,garlic,,,0,karela:80 onion:50 garlic:1,INDB:BFP273
indb_cauliflower_pea_and_potato_bhujia,Cauliflower  pea and potato bhujia,,cauli peas_fresh potato tomato onion,ginger garlic,,,0,cauli:40 peas_fresh:40 potato:40 tomato:25 onion:25 ginger:5 garlic:1,INDB:BFP276
indb_vegetable_jalfrezi,Vegetable jalfrezi,lunch dinner,tomato cabbage capsicum fbeans carrot potato onion,ginger,,north indian recipes,30,tomato:25 cabbage:10 capsicum:10 fbeans:10 carrot:10 potato:10 onion:10 ginger:2,INDB:BFP277|AK:Mixed Vegetable Jalfrezi Recipe(0.67)
indb_carrot_raita,Carrot raita,lunch dinner,curd carrot,gchilli,,indian,25,curd:100 carrot:50 gchilli:3,INDB:BFP316|AK:Beetroot Carrot Raita Recipe(0.67)
indb_spinach_raita,Spinach raita,lunch dinner,spinach curd,gchilli,,indian,,spinach:100 curd:100 gchilli:2,INDB:BFP321|AK:Spinach Yogurt Salad Recipe - Spinach (0.50)
indb_bathua_raita,Bathua raita,,bathua curd,gchilli,,,0,bathua:100 curd:100 gchilli:2,INDB:BFP322
indb_sesame_chickpeas_brittle,Sesame chickpeas brittle,,jaggery chana_dal,til,,,0,jaggery:30 chana_dal:20 til:5,INDB:BFP412
indb_masala_onion_pakora_pakoda,Masala onion pakora/pakoda,,onion chana_dal,ginger garlic,,,0,onion:100 chana_dal:30 ginger:3 garlic:1,INDB:BFP415
indb_masala_green_chilli_pakora_pakoda,Masala green chilli pakora/pakoda,,chana_dal gchilli,ginger garlic,,,0,chana_dal:30 gchilli:20 ginger:3 garlic:1,INDB:BFP416
indb_masala_urad_dal_vada,Masala urad dal vada,snack,urad onion coconut gchilli,ginger,,south indian recipes,,urad:30 onion:10 coconut:5 gchilli:3 ginger:2,INDB:BFP437|AK:Urad dal vada recipe - urad dal vada r(0.75)
indb_gooseberry_chutney,Gooseberry chutney,,amla coriander,gchilli,,,0,amla:25 coriander:5 gchilli:2,INDB:BFP445
indb_dessicated_coconut_chutney,Dessicated coconut chutney,lunch dinner,chana_dal coconut tamarind,,,south indian recipes,20,chana_dal:10 coconut:5 tamarind:3,INDB:BFP450|AK:Coconut Chutney Recipe - Coconut Chutn(0.67)
indb_curd_vegetable_dip,Curd vegetable dip,,curd lemon_wedge capsicum carrot,onion ginger garlic,,,0,curd:33 lemon_wedge:10 capsicum:3 carrot:3 onion:3 ginger:2 garlic:0,INDB:BFP452
indb_pearl_millet_infant_food,Pearl millet infant food,,bajra jaggery dal,til peanut,,,0,bajra:20 jaggery:15 dal:10 til:2 peanut:2,INDB:BFP546
indb_sajina,Sajina,,bajra jaggery dal,,,,0,bajra:25 jaggery:15 dal:10,INDB:BFP547
indb_cereal_mix,Cereal mix,,jaggery rice carrot chana_dal,peanut,,,0,jaggery:15 rice:12 carrot:10 chana_dal:8 peanut:5,INDB:BFP548
indb_banana_groundnut_paste_puree,Banana groundnut paste/puree,,banana jaggery milk,peanut,,,0,banana:30 jaggery:30 milk:30 peanut:10,INDB:BFP553
indb_rice_dal_porridge,Rice dal porridge,breakfast,rice jaggery peanut,dal,,continental,70,rice:13 jaggery:10 peanut:7 dal:3,INDB:BFP554|AK:Black Rice Porridge Recipe(0.50)
indb_lentils_and_semolina_porridge,Lentils and semolina porridge,,milk jaggery suji,dal,,,0,milk:40 jaggery:30 suji:20 dal:10,INDB:BFP555
indb_spinach_khichri,Spinach khichri,,rice dal spinach,,,,0,rice:25 dal:12 spinach:10,INDB:BFP556
indb_vegetable_mix,Vegetable mix,dinner,jaggery potato curd dal spinach,carrot,,italian recipes,35,jaggery:30 potato:20 curd:20 dal:10 spinach:10 carrot:10,INDB:BFP557|AK:Mix Vegetable Risotto Recipe(0.67)
indb_chickpea_flour_cookies,Chickpea flour cookies,,jaggery carrot chana_dal,ghee,,,0,jaggery:35 carrot:25 chana_dal:15 ghee:2,INDB:BFP563
indb_pearl_millet_mathri,Pearl millet mathri,,bajra chana_dal ghee,,,,0,bajra:12 chana_dal:6 ghee:4,INDB:BFP564
indb_sesame_biscuit,Sesame biscuit,,atta jaggery til ghee,,,,0,atta:15 jaggery:15 til:8 ghee:5,INDB:BFP565
indb_fermented_bengal_gram_vada,Fermented bengal gram vada,,spinach chana_dal urad,onion,,,0,spinach:25 chana_dal:15 urad:15 onion:5,INDB:BFP566
indb_poshtik_namak_paras,Poshtik namak paras,,atta spinach chana_dal peanut ghee,til,,,0,atta:50 spinach:25 chana_dal:25 peanut:15 ghee:15 til:8,INDB:BFP568
indb_besan_bathua_chilla_cheela,Besan bathua chilla/cheela,,atta chana_dal bathua ghee,,,,0,atta:20 chana_dal:20 bathua:10 ghee:10,INDB:BFP570
indb_wheat_flour_and_nuts_ladoos,Wheat flour and nuts ladoos,,atta jaggery peanut ghee,til,,,0,atta:30 jaggery:12 peanut:10 ghee:8 til:5,INDB:BFP571
indb_gram_flour_and_semolina_dhokla,Gram flour and semolina dhokla,,chana_dal suji spinach onion curd,gchilli,,,0,chana_dal:50 suji:25 spinach:25 onion:25 curd:25 gchilli:3,INDB:BFP573
indb_poshtik_khichdi_khichri,Poshtik khichdi/khichri,,rice amaranth chana_dal,peanut,,,0,rice:60 amaranth:33 chana_dal:17 peanut:7,INDB:BFP576
indb_sprouts_upma,Sprouts upma,,suji moong_whole,peanut,,,0,suji:60 moong_whole:20 peanut:7,INDB:BFP578
indb_semolina_idli,Semolina idli,,suji curd spinach chana_dal,peanut,,,0,suji:45 curd:38 spinach:20 chana_dal:10 peanut:5,INDB:BFP579
indb_poshtik_chilla_cheela,Poshtik chilla/cheela,,atta moong_whole,onion,,,0,atta:90 moong_whole:30 onion:10,INDB:BFP580
indb_amaranth_ladoo,Amaranth ladoo,,rajgira jaggery almond,,,,0,rajgira:23 jaggery:10 almond:5,INDB:OSR021
indb_greenpea_cookies,Greenpea cookies,,peas_fresh dates tofu,almond,,,0,peas_fresh:36 dates:18 tofu:16 almond:4,INDB:OSR037
indb_gooseberry_pickle,Gooseberry pickle,,amla ginger,gchilli,,,0,amla:12 ginger:2 gchilli:1,INDB:OSR049
indb_coconut_pickle,Coconut pickle,,coconut gchilli,garlic,,,0,coconut:8 gchilli:1 garlic:1,INDB:OSR059
indb_potato_pickle,Potato pickle,,potato gchilli,garlic,,,0,potato:18 gchilli:4 garlic:2,INDB:OSR060
indb_garlic_chutney_poondu_chutney,Garlic chutney/Poondu chutney,lunch dinner,onion tamarind,garlic,,indian,30,onion:35 tamarind:17 garlic:4,INDB:OSR080|AK:Tomato Garlic Chutney Recipe(0.50)
indb_onion_raita,Onion raita,lunch dinner,curd onion,gchilli,,indian,10,curd:122 onion:25 gchilli:5,INDB:OSR090|AK:Onion Raita Recipe - Onion Raita Recip(1.00)
indb_tamarind_chutney,Tamarind chutney,lunch dinner,jaggery dates tamarind,,,south indian recipes,30,jaggery:5 dates:4 tamarind:3,INDB:OSR096|AK: Tamarind Ginger Chutney(0.67)
indb_green_chutney,Green chutney,lunch dinner,coriander mint gchilli,ginger garlic,,north indian recipes,30,coriander:8 mint:4 gchilli:2 ginger:1 garlic:0,INDB:OSR098|AK: Green Chutney Recipe(1.00)
indb_gram_flour_chilla_cheela,Gram flour chilla/cheela,,chana_dal onion tomato,coriander,,,0,chana_dal:17 onion:5 tomato:4 coriander:1,INDB:OSR100
indb_vegetable_namkeen_jave,Vegetable namkeen jave,,vermicelli tomato onion peas_fresh,potato,,,0,vermicelli:88 tomato:22 onion:12 peas_fresh:9 potato:9,INDB:OSR101
indb_moong_bean_dosa,Moong bean dosa,breakfast,dal onion,gchilli,,south indian recipes,,dal:12 onion:9 gchilli:1,INDB:OSR103|AK:Moong Dal Dosa Recipe(0.50)
indb_methi_thepla,Methi thepla,breakfast,atta bajra jowar chana_dal,methi,,gujarati recipes﻿,35,atta:11 bajra:4 jowar:4 chana_dal:4 methi:1,INDB:OSR104|AK:Carrot Methi Jowar Thepla Recipe(0.50)
indb_quinoa_khichdi_khichri,Quinoa khichdi/khichri,,dal quinoa peas_fresh carrot fbeans onion,,,,0,dal:22 quinoa:21 peas_fresh:18 carrot:16 fbeans:12 onion:12,INDB:OSR107
indb_khakhra_chaat,Khakhra chaat,,chana_dal potato atta onion tomato coriander jaggery,dates tamarind mint gchilli ginger garlic,,,0,chana_dal:120 potato:52 atta:49 onion:30 tomato:25 coriander:12 jaggery:10 dates:7 tamarind:6 mint:6 gchilli:4 ginger:2 garlic:0,INDB:OSR108
