# Ingredient nutrient table — the data source for the planner, the shop list and the menu generator.
# Values are PER ONE UNIT of the stated unit (multiply by qty). Micros are rough estimates.
# pantry: 1 = on hand. base: 1 = can START a plate. green/probiotic: functional flags. role: for recipe phrasing (base/protein/veg/green/aromatic/sour/seed/fruit/condiment/dairy).
# topper: 1 = a micro-layer item the menu generator may ADD to any slot to repair a nutrient gap (seeds/greens/sours/moringa).
#         Only toppers are addable, and only one serving per day — that is what keeps a repair edible.
# shelf = days it keeps AFTER buying — decides the shopping run (<=3 fresh/daily · 4-14 weekly · >14 monthly staple).
#         it also caps how far ahead you can buy: you cannot stock a month of spinach.
# pack  = how many of `unit` come in one purchase pack. packname = what you actually ask for at the shop.
#         CAREFUL: for dals/grains `unit` is a COOKED cup but you buy a DRY packet. Convert, don't eyeball:
#         g_dry_per_cup = kcal_per_cup / (kcal_per_g_dry)  -> 1 cup cooked dal = ~35 g dry, so a 1 kg packet = 28 cups.
#         Getting this wrong silently multiplies every buy (a 12-cup dal pack over-buys 2.3x).
#         all of these are estimates — tune them and re-run `python3 app.py import-csv`.
# No commas inside any field.
# lead = HOURS of ahead-time needed BEFORE you can cook with this (soaking, sprouting).
#   `effort` is cook time; `lead` is the thing effort misses. A 12-min rajma bowl is a fiction
#   if nobody soaked the rajma last night. The menu page turns this into a nightly prep queue.
# prep = what you actually do. No commas.
# makes = space-sep raw input ids this row is MADE from (soaking/sprouting/bhuna). Presence marks a
#   PREP OUTPUT — a thing you make, not buy. It gets its own stock + freshness clock (shelf). Marking a
#   prep "done" on index/menu bumps this row's stock; it then expires on its own shelf-life clock.
# needform/gated = the FLAG escape hatch for effects that are real but unquantified (forms.csv
#   mechanism=matrix/fat). needform = the form.csv id that must be applied; gated = the nutrients
#   that should NOT be credited until it is. A flag not a multiplier: the planner WARNS, it never
#   silently scales. Whole til really does deliver far less calcium than ground til - declining to
#   invent the percentage is not the same as claiming the effect is zero.
# keep = 1 = a STANDING prep you always want a batch of ready — the prep queue nags when its stock is empty.
# --- EXPANSION (2026-07-19): rows below generated from ICMR-NIN IFCT 2017 via the `ifct2017` npm
# --- package - real per-100g composition scaled to the unit here. Energy from enerc (kJ -> kcal); the
# --- oils/fats table carries no enerc so those are 9 kcal/g of fat. vita = retinol + carotene-eq/12 (ug RAE).
# --- Non-nutrient columns (pantry/pack/shelf/prep) are still hand-set estimates - tune them.
# --- Known IFCT gaps: it measures no retinol for dairy so milk/paneer vitA reads low; B12 is not a column at all.
# --- COVERAGE PASS: added by enumerating IFCT groups rather than by recall. Numbers are all
# --- 0 here on purpose — `python3 app.py ifct-derive --write` fills them from the table.
# --- PREP OUTPUTS: things you MAKE not buy. `makes` links each to the raw ids it comes from; marking
# --- it done (index/menu prep queue) bumps its stock and starts the shelf-life clock. sprout is one too.
id,name,unit,default,pantry,base,green,probiotic,topper,role,kcal,protein,carbs,fibre,iron,calcium,vitc,folate,omega3,omega3_dha,zinc,vita,magnesium,potassium,note,shelf,pack,packname,lead,prep,makes,keep,needform,gated,ifct_code,grams,grams_src
cashew,Cashews,serving,1,0,0,0,0,1,seed,117,3.8,5.1,0.8,1.19,7,0,5,0.01,0,1.07,0,61,127,the creaming agent for gravies without dairy,90,16,250 g packet,0,,,0,,,H005,20,ICMR-NIN DGI 2024 nutseed serving (35g/day)
sunflower,Sunflower seeds,serving,1,0,0,0,0,1,seed,117,4.7,1.4,2.2,1.17,35,0,16,0.01,0,1.41,0,83,112,cheapest seed topper by weight,90,16,250 g packet,0,,,0,,,H020,20,ICMR-NIN DGI 2024 nutseed serving (35g/day)
coconut,Fresh coconut,serving,1,0,0,0,0,0,condiment,82,0.8,1.3,2.1,0.26,2,0.2,5,0,0,0.12,0,7,49,chutney and poriyal finisher,5,20,half coconut,0,grate a batch - freezes well,,0,,,H007,20,INDB serving n=11 basis=core
capsicum,Capsicum (green),serving,1,0,0,0,0,0,veg,16,1.1,1.8,2.1,0.48,15,123,52,0.04,0,0.15,27,12,154,,7,5,400 g,0,,,0,,,D033,100,ICMR-NIN DGI 2024 vegetable serving (250g/day)
cabbage,Cabbage,serving,1,0,0,0,0,0,veg,16,1,2.4,2.1,0.26,39,24.9,35,0.04,0,0.12,1,13,175,the long-keeping raw-salad volume,14,10,1 head,0,,,0,,,C015,75,ICMR-NIN DGI 2024 glv serving (100g/day)
cauli,Cauliflower,serving,1,0,0,0,0,0,veg,23,2.1,2,3.7,0.96,25,47.1,46,0.12,0,0.31,0,23,329,,7,5,1 head,0,,,0,,,D036,100,ICMR-NIN DGI 2024 vegetable serving (250g/day)
pumpkin_veg,Pumpkin (kaddu),serving,1,0,0,0,0,0,veg,23,0.8,4,2.6,0.36,23,8,24,0.03,0,0.11,20,10,253,carotene-dense and keeps for weeks whole,21,4,500 g,0,,,0,,,D066,100,ICMR-NIN DGI 2024 vegetable serving (250g/day)
lauki,Lauki,serving,1,0,0,0,0,0,veg,11,0.5,1.7,2.1,0.26,15,4.3,42,0.02,0,0.15,4,11,124,,7,4,1 lauki,0,,,0,,,D007,100,ICMR-NIN DGI 2024 vegetable serving (250g/day)
karela,Karela,serving,1,0,0,0,0,0,veg,21,1.4,2.8,3.8,1.15,21,46.5,60,0.02,0,0.31,10,32,326,,7,4,250 g,0,,,0,,,D004,100,ICMR-NIN DGI 2024 vegetable serving (250g/day)
tori,Ridge gourd (tori),serving,1,0,0,0,0,0,veg,13,0.9,1.7,1.8,0.42,14,5.4,29,0.03,0,0.22,29,16,118,,5,4,250 g,0,,,0,,,D068,100,ICMR-NIN DGI 2024 vegetable serving (250g/day)
sweetpotato,Sweet potato,serving,1,0,1,0,0,0,base,54,0.7,12.1,2,0.17,14,9,8,0.01,0,0.08,224,9,172,a base that carries carotene - rice does not,21,4,500 g,0,boil a batch - keeps 3 days,,0,,,F013,50,ICMR-NIN DGI 2024 root serving (50g/day)
mushroom,Button mushrooms,serving,1,0,0,0,0,0,veg,27,3.7,2,3.1,0.29,18,0,8,0,0,0.17,0,18,318,buy - umami and the only dietary vit-D candidate here,5,3,200 g pack,0,,,0,,,J001,100,ICMR-NIN DGI 2024 vegetable serving (250g/day)
drumstick,Drumstick pods,serving,1,0,0,0,0,0,veg,29,2.6,3.8,6.8,0.73,33,71.9,63,0.01,0,0.31,1,38,419,goes into sambar and dal,7,8,bunch,0,,,0,,,D046,100,ICMR-NIN DGI 2024 vegetable serving (250g/day)
peas_fresh,Green peas,serving,1,0,0,0,0,0,veg,81,7.2,11.9,6.3,1.58,28,38.4,55,0.01,0,1.09,10,40,249,frozen is fine - keeps for months,60,3,500 g pack,0,,,0,,,D061,100,ICMR-NIN DGI 2024 vegetable serving (250g/day)
methi,Methi leaves,serving,1,0,0,1,0,1,green,26,2.8,1.6,3.7,4.27,206,43.7,56,0.27,0,0.41,578,48,170,bitter - pairs with dal and atta,3,4,bunch,0,,,0,,,C020,75,ICMR-NIN DGI 2024 glv serving (100g/day)
sarson,Sarson leaves,serving,1,0,0,1,0,1,green,23,2.6,1.8,2.9,2.13,143,45.2,82,0.18,0,0.51,164,39,302,,3,4,bunch,0,,,0,,,C026,75,ICMR-NIN DGI 2024 glv serving (100g/day)
mooli_leaf,Radish leaves,serving,1,0,0,1,0,1,green,20,1.7,2.1,1.4,2.86,176,49.3,40,0.15,0,0.37,162,43,228,the free green - comes attached to the radish,3,4,bunch,0,,,0,,,C031,75,ICMR-NIN DGI 2024 glv serving (100g/day)
drumstick_leaf,Drumstick leaves,serving,1,0,0,1,0,1,green,51,4.8,4.2,6.2,3.42,236,81,32,0.33,0,0.54,1096,73,298,fresh moringa - same plant as the powder,2,4,bunch,0,,,0,,,C019,75,ICMR-NIN DGI 2024 glv serving (100g/day)
agathi,Agathi leaves,serving,1,0,0,1,0,1,green,53,6,3.9,6.4,3.27,676,90.8,90,0.31,0,0.4,786,72,506,,2,4,bunch,0,,,0,,,C001,75,ICMR-NIN DGI 2024 glv serving (100g/day)
mint,Mint,serving,1,0,0,0,0,0,aromatic,2,0.2,0.1,0.3,0.43,10,0.9,5,0.01,0,0.04,19,6,27,chutney and raita,5,20,bunch,0,,,0,,,G016,5,INDB serving n=4 basis=all
orange,Orange,serving,1,0,0,0,0,1,fruit,37,0.7,7.9,1.3,0.81,20,42.7,19,0.01,0,0.04,7,11,164,iron partner - keeps better than guava,10,4,1 kg,0,,,0,,,E047,100,ICMR-NIN DGI 2024 fruit serving (100g/day)
pomegranate,Pomegranate,serving,1,0,0,0,0,1,fruit,55,1.3,11.6,2.8,0.31,11,12.7,39,0,0,0.18,0,11,206,,14,2,1 fruit,0,deseed a whole one - keeps 3 days,,0,,,E055,100,ICMR-NIN DGI 2024 fruit serving (100g/day)
amla,Amla,serving,1,0,0,0,0,1,fruit,24,0.3,4.4,7.8,1.25,20,252,8,0.03,0,0.05,0,6,223,the vitamin-C outlier - one piece covers the day,14,12,250 g,0,,,0,,,E021,100,ICMR-NIN DGI 2024 fruit serving (100g/day)
mango,Mango (ripe),serving,1,0,0,0,0,1,fruit,42,0.5,8.2,1.9,0.51,16,33,82,0.1,0,0.12,98,13,144,,5,3,1 kg,0,,,0,,,E036,100,ICMR-NIN DGI 2024 fruit serving (100g/day)
watermelon,Watermelon,serving,1,0,0,0,0,0,fruit,20,0.6,3.9,0.7,0.22,5,13.3,6,0.02,0,0.1,50,10,124,,7,8,half melon,0,,,0,,,E065,100,ICMR-NIN DGI 2024 fruit serving (100g/day)
apple,Apple,serving,1,0,0,0,0,0,fruit,64,0.3,13.9,2.1,0.25,5,4,4,0.03,0,0.05,0,5,100,the travel fruit - keeps 3 weeks,21,4,500 g,0,,,0,,,E003,100,ICMR-NIN DGI 2024 fruit serving (100g/day)
dates,Dates,serving,1,0,0,0,0,1,fruit,320,2.5,74.9,8.9,3.2,71,4.4,19,0.02,0,0.7,225,74,804,iron and the sugar you actually want,180,40,500 g packet,0,,,0,,,E017,100,ICMR-NIN DGI 2024 fruit serving (100g/day)
fig_dry,Dried figs,serving,1,0,0,0,0,1,fruit,82,2,16.3,4.6,0.69,79,16.9,14,0.05,0,0.22,0,26,231,calcium in a sweet,180,12,250 g packet,0,,,0,,,E020,100,ICMR-NIN DGI 2024 fruit serving (100g/day)
raisin,Raisins,serving,1,0,0,0,0,1,fruit,306,2.6,71.3,3.9,6.81,73,2.1,38,0.01,0,0.22,0,34,1105,,180,16,250 g packet,0,,,0,,,E057,100,ICMR-NIN DGI 2024 fruit serving (100g/day)
milk,Milk (cow),serving,1,1,0,0,0,0,dairy,146,6.5,9.9,0,0.3,236,4,14,0.04,0,0.66,2,17,230,the calcium floor when curd runs out,3,4,1 litre,0,,,0,,,L002,200,ICMR-NIN DGI 2024 dairy serving (300g/day)
ghee,Ghee,serving,1,1,0,0,0,0,condiment,81,0,0,0,0,0,0,0,0.05,0,0,0,0,0,fat-soluble vitamin carrier - a tsp on dal is functional,365,100,500 g jar,0,,,0,,,T013,9,INDB serving n=4 basis=core
mustard_oil,Mustard oil,serving,1,1,0,0,0,0,condiment,36,0,0,0,0,0,0,0,0.47,0,0,0,0,0,the ALA cooking fat,365,200,1 litre,0,,,0,,,T006,4,ESTIMATE - no INDB serving for this food
coconut_water,Coconut water,serving,1,0,0,0,0,0,fruit,37,0.6,7.6,0,0.14,66,1.5,26,0,0,0.1,0,44,516,,2,1,1 coconut,0,,,0,,,K002,240,ESTIMATE - no INDB serving for this food
tamarind,Tamarind pulp,serving,1,1,0,0,0,0,sour,49,0.5,11.4,0.9,1.56,25,0.6,2,0,0,0.1,0,14,142,sambar and chaat sour - iron partner like lemon,365,30,500 g block,0,,,0,,,E064,17,INDB serving n=7 basis=core
jaggery,Jaggery,serving,1,1,0,0,0,0,condiment,99,0.5,23.8,0,1.3,30,0,4,0,0,0.13,0,32,137,trace iron - still sugar,365,125,1 kg block,0,,,0,,,I001,28,INDB serving n=24 basis=core
chia,Chia seeds,serving,1,0,0,0,0,1,seed,80,2.7,4.3,4.1,0.86,38,0.1,13,0,0,0.65,0,59,122,US FCT H506 via INDB - ALA is NOT a column in that table so omega3 reads 0 here - that is missing data not absence,180,16,250 g packet,0,soak 10 min or grind,,0,,,,15,row already stated 15g
rajma_soaked,Soaked rajma,serving,1,0,1,0,0,0,protein,89,5.8,14.6,5.1,1.89,40,0,99,0.17,0,0.78,0,49,410,ready-to-cook - soak once cook for 2 days,2,3,home-soaked batch,8,soak 6-8h then DISCARD the water,rajma,0,,,B019,30,ICMR-NIN DGI 2024 pulse serving (85g/day)
base_paste,Tomato-onion paste,serving,1,0,0,0,0,0,aromatic,45,1.5,9,2,0.4,20,10,15,0,0,0.2,20,10,250,bhuna base for any gravy - keeps 4-5 days,5,5,bhuna batch ~5 servings,0,bhuna onions+tomato+garlic+ginger ~1h,onion tomato garlic ginger,1,,,,45,ESTIMATE - one serving of bhuna base
